,relevant_features,irrelevant_features,mean_var,mean_directions_kept
0,1,9,0.09179190231279832,10.0
0,1,11,0.07737892678842526,12.0
0,1,15,0.05747265648458151,16.0
0,2,18,0.047075388285039314,20.0
0,2,24,0.037179301325454314,26.0
0,3,30,0.02930590962041351,33.0
0,4,38,0.02355704864559289,42.0
0,5,49,0.018075681285325388,54.0
0,6,63,0.014302816808092004,69.0
0,8,80,0.011295377285304616,88.0
0,11,101,0.008677074047607635,112.0
0,14,129,0.006930489480519586,143.0
0,18,165,0.005430834513508716,183.0
0,23,210,0.004278765844380914,233.0
0,29,268,0.003355652149836537,297.0
0,37,342,0.0026315404170659303,379.0
0,48,435,0.002492166888064773,400.0
0,61,554,0.002493814551522556,400.0
0,78,706,0.002496150529333132,400.0
0,100,900,0.002495024366127576,400.0
